SALES,YEAR
2871,2003
2765.9,2003
3884.34,2003
3746.7,2003
5205.27,2003
3479.76,2003
2497.77,2003
5512.32,2003
2168.54,2003
4708.44,2004
3965.66,2004
2333.12,2004
3188.64,2004
3676.76,2004
4177.35,2004
4099.68,2004
2597.39,2004
4394.38,2004
4358.04,2004
4396.14,2004
7737.93,2004
1451,2004
733.11,2005
3207.12,2005
2434.56,2005
7516.08,2005
5404.62,2003
7209.11,2003
7329.06,2003
7374.1,2003
10993.5,2003
4860.24,2003
8014.82,2003
5372.57,2003
7290.36,2003
9064.89,2003
6075.3,2004
6463.23,2004
6120.34,2004
7680.64,2004
4905.39,2004
8014.82,2004
7136.19,2004
10172.7,2004
11623.7,2004
6000.4,2004
3003,2004
3944.7,2004
5691.84,2004
4514.92,2005
8254.8,2005
2416.56,2005
4140.23,2005
12001,2005
3896.49,2003
2793.86,2003
3307.77,2003
5192.95,2003
5016.83,2003
3660.93,2003
4695.6,2003
3660.92,2003
3025.92,2003
3009.09,2004
5422.39,2004
2852.08,2004
5756.52,2004
4472,2004
2904.44,2004
6484.59,2004
3757.26,2004
4043.96,2004
5566.5,2004
3176,2004
2756.8,2004
1329.9,2004
5288.01,2005
2225.5,2005
5833.8,2005
5887.35,2005
6065.55,2003
9264.86,2003
7023.98,2003
5176.38,2003
4132.7,2003
4183,2003
8892.9,2003
8714.7,2003
8065.89,2003
6123.4,2004
9774.03,2004
7023.9,2004
7078.23,2004
8336.94,2004
6901.92,2004
5438.07,2004
6683.34,2004
4570.4,2004
7667.14,2004
5868.2,2004
2990.13,2004
3664.1,2005
3834.38,2005
1822.17,2005
11886.6,2005
9218.16,2005
7208,2003
5004.8,2003
4398.24,2003
5597.76,2003
4526.08,2003
5924.16,2003
3492.48,2003
3854.24,2003
5324.4,2003
5197.92,2004
5997.6,2004
2910.4,2004
3378.24,2004
3508.8,2004
2992,2004
3427.2,2004
2692.8,2004
4128.96,2004
3051.71,2004
1201.25,2004
1962.22,2004
2624.64,2004
4046.25,2005
4846.7,2005
3370.56,2005
9661.44,2005
2764.88,2005
5398.26,2003
4305.28,2003
3347.74,2003
3188.12,2003
3191.2,2003
3536.82,2003
5362.83,2003
3433.36,2003
4263.74,2003
4076.19,2003
7020.48,2004
6426.5,2004
4591.72,2004
4033.38,2004
4302.08,2004
7020.64,2004
3855.9,2004
6680.78,2004
6678,2004
2851.54,2004
3188.12,2004
4428,2004
5780.92,2004
2297.05,2005
6231.54,2005
1735.3,2005
4427.73,2005
5894.94,2005
5265.15,2003
7599.9,2003
8008.56,2003
9245.76,2003
8296.35,2003
5019.9,2003
5411.07,2003
3840.9,2003
3930.4,2003
7498.9,2004
4517.91,2004
5774.72,2004
3922.56,2004
9160.36,2004
9631,2004
3432.24,2004
5521.89,2003
6934.62,2004
6876.11,2004
2930.27,2004
3584.25,2004
2817.87,2005
3420,2005
2575.04,2005
1961.28,2005
8690.36,2003
6034.38,2003
11279.2,2003
8023.29,2003
4904,2003
8594.52,2003
7474.5,2003
3883.74,2003
8887.7,2003
8602.92,2004
7181.44,2004
8378.58,2004
10606.2,2004
5818.4,2004
7071.27,2004
8411.56,2004
6570.76,2004
7975.44,2004
2688,2004
1888.26,2004
2513.28,2004
4764.48,2004
3560.64,2005
3823.64,2005
2280.96,2005
8677.8,2005
3394.98,2003
3415.44,2003
2439.57,2003
4829.8,2003
4100.1,2003
6563.06,2003
6817.22,2003
6163.94,2003
4933.92,2003
4056.36,2003
5759.42,2004
3451,2004
5920.4,2004
6668.24,2004
4094.72,2004
2938.5,2004
6387.8,2004
6396,2004
2669.1,2004
4784.13,2004
3273.93,2004
3586.43,2004
5960.36,2004
8470.14,2005
2952,2005
2464.8,2005
6232,2005
7969.36,2005
3036.6,2003
8284,2003
2711.2,2003
8339.8,2003
6238.84,2003
4639.25,2003
6747.6,2003
4512.48,2003
4029,2003
4771.8,2004
6087.94,2004
4193.28,2004
7552.28,2004
6434.4,2004
5181.5,2004
6863.92,2004
4157.04,2004
4660.24,2004
4111.8,2004
3542.64,2004
8118.55,2004
3877.06,2005
3867.08,2005
5951.44,2005
8648.64,2005
3447.78,2005
5958.5,2003
5911.64,2003
7366.44,2003
4985.64,2003
5393.64,2003
4880.02,2003
8378.69,2003
4038.21,2003
3807.12,2003
3142.36,2004
4713.6,2004
7016.31,2004
4381.25,2004
4283.01,2004
4364.82,2004
4242.24,2004
4982.7,2004
6393.54,2004
1466.91,2004
4059.33,2004
4801.52,2004
2711.66,2004
5862,2005
4071.85,2005
8236.75,2005
6130.35,2003
3693.34,2003
6031.68,2003
3494.94,2003
5294.14,2003
5464.69,2003
2860.76,2003
5590,2003
2254.8,2003
4946.76,2004
2495.5,2004
3167.38,2004
2402.84,2004
2454.54,2004
5464.69,2004
4756.5,2004
3984.6,2003
3100.32,2004
4850.3,2004
3846.98,2004
4220.92,2004
3288.82,2005
3987.2,2005
1809.5,2005
1092.2,2005
4566.05,2003
5938.14,2003
8138.76,2003
9470.94,2003
7036.89,2003
5559.03,2003
7872.5,2003
7886.2,2003
7232.16,2003
3114.4,2004
5045.22,2004
6952.12,2004
4157.73,2004
7962.24,2004
3778.8,2004
8253,2004
3633.4,2004
6913.8,2004
2583.6,2004
3105.62,2004
4408.56,2004
3042.41,2004
5941.5,2005
3241.9,2005
6109.29,2005
3387.78,2005
3485.82,2003
2042.88,2003
1800.24,2003
1340.64,2003
1762.08,2003
2298.24,2003
1628,2003
1939.2,2003
3651.56,2003
2591.96,2004
2864.17,2004
1484.2,2004
2254.25,2004
2681.35,2004
3184.02,2004
2846.63,2004
1685.42,2003
3988.6,2004
2789.96,2004
3607.56,2004
3368.16,2004
2775.08,2005
1627.92,2005
2529.36,2005
3065.78,2005
4615.78,2003
5723.78,2003
2559.6,2003
2140.11,2003
3327.6,2003
6825.6,2003
3543.28,2003
4516.22,2003
6445.46,2003
3384.36,2003
4891.68,2004
4521.96,2004
5069.66,2004
6541.2,2004
3012.27,2004
5247.18,2004
2214.87,2004
4773.18,2004
6185.7,2004
1517.88,2004
6372.6,2004
5232.96,2004
2694.72,2004
1749.79,2005
2130.56,2005
5951.34,2005
4692.6,2005
3731.04,2003
2142,2003
2838.81,2003
3230.37,2003
5182,2003
4391.1,2003
4477.32,2003
3544.56,2003
5195.85,2003
4180.44,2004
2684.43,2004
1958.88,2004
4910.57,2004
4468.4,2004
3127.88,2004
2675.13,2004
2807.61,2003
2504.75,2004
2984.88,2004
2524.86,2004
4136,2004
4068.7,2005
5182,2005
5243.79,2005
9048.16,2005
3832.64,2005
3920,2003
4916.66,2003
3857,2003
4181.44,2003
